Name,phi,D,L,D_trommel,J,Jb,l_l,N_l,w_l,Db,F80,mu,porosity,beta_lifter,beta_ball,rho_c,rho_s,discharge_is_grate,Power,Ai
Meadowbank,0.75,7.7,3.35,1.925,0.226,0.135,0.385,33,0.231,0.1925,0.1925,0.4,0.63,0.4363,1.2217,5.839070796,2.45,TRUE,3190,0.60
Cadia,0.79,12.02,6.1,3.005,0.288,0,0.601,33,0.3606,0.3005,0.3005,0.4,0.63,0.325,1.2217,2.6,2.12,TRUE,10741,0.60
Cadia,0.79,12.02,6.1,3.005,0.285,0,0.601,33,0.3606,0.3005,0.3005,0.4,0.63,0.325,1.2217,2.6,2.12,TRUE,9908,0.60
Cadia,0.78,12.02,6.1,3.005,0.25,0.04,0.601,33,0.3606,0.3005,0.3005,0.4,0.63,0.325,1.2217,3.432,2.12,TRUE,10391,0.40
Cadia,0.78,12.02,6.1,3.005,0.407,0.04,0.601,33,0.3606,0.3005,0.3005,0.4,0.63,0.325,1.2217,3.111056511,2.12,TRUE,14347,0.60
Cadia,0.74,12.02,6.1,3.005,0.316,0.12,0.601,33,0.3606,0.3005,0.3005,0.4,0.63,0.325,1.2217,4.574683544,2.12,TRUE,16883,0.40
Cadia,0.78,12.02,6.1,3.005,0.261,0.12,0.601,33,0.3606,0.3005,0.3005,0.4,0.63,0.325,1.2217,4.990804598,2.12,TRUE,17244,0.60
Fimiston,0.725,10.8,4.42,2.7,0.216,0.13,0.54,33,0.324,0.27,0.27,0.4,0.63,0.4363,1.2217,5.849074074,2.25,TRUE,8752,0.50
Fimiston,0.77,10.8,4.42,2.7,0.252,0.13,0.54,33,0.324,0.27,0.27,0.4,0.63,0.4363,1.2217,5.427777778,2.2,TRUE,9810,0.70
Fimiston,0.8,10.8,4.42,2.7,0.222,0.115,0.54,33,0.324,0.27,0.27,0.4,0.63,0.4363,1.2217,5.438288288,2.14,TRUE,10379,0.60
Fimiston,0.82,10.8,4.42,2.7,0.2,0.14,0.54,33,0.324,0.27,0.27,0.4,0.63,0.4363,1.2217,6.33,2.43,TRUE,11048,0.60
Fimiston,0.78,10.8,4.42,2.7,0.286,0.13,0.54,33,0.324,0.27,0.27,0.4,0.63,0.4363,1.2217,5.127272727,2.43,TRUE,10978,0.50
Fimiston,0.78,10.8,4.42,2.7,0.258,0.13,0.54,33,0.324,0.27,0.27,0.4,0.63,0.4363,1.2217,5.368992248,2.43,TRUE,10942,0.60
Fimiston,0.8,10.8,4.42,2.7,0.19,0.12,0.54,33,0.324,0.27,0.27,0.4,0.63,0.4363,1.2217,5.994736842,2.43,TRUE,8896,0.50
Phoenix,0.74,10.74,5.03,2.685,0.3,0.13,0.537,33,0.3222,0.2685,0.2685,0.4,0.63,0.4363,1.2217,4.91,2.28,TRUE,10965,0.50
Phoenix,0.74,10.74,5.03,2.685,0.27,0.13,0.537,33,0.3222,0.2685,0.2685,0.4,0.63,0.4363,1.2217,5.155555556,2.28,TRUE,10304,0.50
Yanacocha,0.645,9.4,9.76,2.35,0.179,0.165,0.47,33,0.282,0.235,0.235,0.4,0.63,0.4363,1.2217,7.387039106,2.11,TRUE,12286,0.70
Yanacocha,0.631,9.4,9.76,2.35,0.229,0.191,0.47,33,0.282,0.235,0.235,0.4,0.63,0.4363,1.2217,6.923842795,2.22,TRUE,13992,0.50
LKAB_KA2,0.753,6.28,5.3,1.57,0.305,0,0.314,33,0.1884,0.157,0.157,0.4,0.63,0.125,1.2217,3.75,3.06,TRUE,2648,0.40
LKAB_KA3,0.753,6.29,5.88,1.5725,0.414,0,0.3145,33,0.1887,0.15725,0.15725,0.4,0.63,0.125,1.2217,4.33,3.53,TRUE,3647,0.40
Porgera,0.782,8.38,3.35,2.095,0.263,0.11,0.419,33,0.2514,0.2095,0.2095,0.4,0.63,0.25,1.2217,4.850532319,2.3,TRUE,4216,0.60
Porgera,0.782,8.38,3.35,2.095,0.304,0.121,0.419,33,0.2514,0.2095,0.2095,0.4,0.63,0.25,1.2217,4.747993421,2.3,TRUE,4031,0.50
Porgera,0.782,8.38,3.35,2.095,0.228,0.138,0.419,33,0.2514,0.2095,0.2095,0.4,0.63,0.25,1.2217,5.798684211,2.3,TRUE,4309,0.50
Porgera,0.782,8.38,3.35,2.095,0.34,0.127,0.419,33,0.2514,0.2095,0.2095,0.4,0.63,0.25,1.2217,4.623794118,2.3,TRUE,4077,0.50
Porgera,0.787,8.38,3.35,2.095,0.269,0.132,0.419,33,0.2514,0.2095,0.2095,0.4,0.63,0.25,1.2217,5.217881041,2.3,TRUE,3994,0.50
Porgera,0.787,8.38,3.35,2.095,0.326,0.127,0.419,33,0.2514,0.2095,0.2095,0.4,0.63,0.25,1.2217,4.705122699,2.3,TRUE,4031,0.40
Cadia,0.78,12.02,6.1,3.005,0.33,0.14,0.601,33,0.3606,0.3005,0.3005,0.4,0.63,0.45,1.2217,4.806060606,2.12,TRUE,18547,0.50
Cadia,0.62,12.02,6.1,3.005,0.35,0.13,0.601,33,0.3606,0.3005,0.3005,0.4,0.63,0.45,1.2217,4.531428571,2.12,TRUE,14592,0.50
Cadia,0.7,12.02,6.1,3.005,0.35,0.13,0.601,33,0.3606,0.3005,0.3005,0.4,0.63,0.45,1.2217,4.531428571,2.12,TRUE,17088,0.40
Cadia,0.78,12.02,6.1,3.005,0.35,0.13,0.601,33,0.3606,0.3005,0.3005,0.4,0.63,0.45,1.2217,4.531428571,2.12,TRUE,18432,0.50
Driefontein,0.76,7.45,9.25,1.8625,0.37,0.08,0.3725,33,0.2235,0.18625,0.18625,0.4,0.63,0.4363,1.2217,3.802702703,2.19,TRUE,6889,0.40
St_Ives_sec_crush,0.749,7.23,3,1.8075,0.191,0.15,0.3615,33,0.2169,0.18075,0.18075,0.4,0.63,0.325,1.2217,6.726701571,2.26,TRUE,2523,0.40
St_Ives_c_circ,0.749,7.23,3,1.8075,0.214,0.14,0.3615,33,0.2169,0.18075,0.18075,0.4,0.63,0.325,1.2217,6.071028037,2.26,TRUE,2388,0.50
St_Ives_o_circ,0.749,7.23,3,1.8075,0.217,0.14,0.3615,33,0.2169,0.18075,0.18075,0.4,0.63,0.325,1.2217,6.025806452,2.26,TRUE,2481,0.50
Navachab,0.889,4.71,9.49,1.1775,0.4,0.097,0.2355,33,0.1413,0.11775,0.11775,0.4,0.63,0.53,1.2217,4.0428,2.34,TRUE,2825,0.60
Los_Bronces,0.747,8.26,4.19,2.065,0.237,0.127,0.413,33,0.2478,0.2065,0.2065,0.4,0.63,0.6,1.2217,5.38185654,2.03,TRUE,3667,0.70
LB_Confluencia,0.723,12.2,6.9,3.05,0.27,0.14,0.61,33,0.366,0.305,0.305,0.4,0.63,0.47,1.2217,5.315555556,2.23,TRUE,18812,0.40
Inco_Clarabelle,0.776,9.45,3.96,2.3625,0.425,0,0.4725,33,0.2835,0.23625,0.23625,0.4,0.63,0.125,1.2217,2.75,2.26,TRUE,5156,0.40
Inco_Clarabelle,0.749,9.45,3.96,2.3625,0.32,0.08,0.4725,33,0.2835,0.23625,0.23625,0.4,0.63,0.125,1.2217,4.0125,2.26,TRUE,6132,0.60
Inco_Clarabelle,0.741,9.45,3.96,2.3625,0.32,0.075,0.4725,33,0.2835,0.23625,0.23625,0.4,0.63,0.125,1.2217,3.93359375,2.26,TRUE,7169,0.50
Inco_Clarabelle,0.749,9.45,3.96,2.3625,0.34,0.065,0.4725,33,0.2835,0.23625,0.23625,0.4,0.63,0.125,1.2217,3.715441176,2.26,TRUE,7013,0.60
Santa_Rita,0.75,9.15,5,2.2875,0.332,0,0.4575,33,0.2745,0.22875,0.22875,0.4,0.63,0.125,1.2217,3.24,2.57,TRUE,6208,0.70
Sossego,0.769,11.28,6.4,2.82,0.28,0.149,0.564,33,0.3384,0.282,0.282,0.4,0.63,0.53,1.2217,5.488785714,2.3,TRUE,15970,0.60
El_Soldado,0.767,10.06,5.18,2.515,0.262,0.186,0.503,33,0.3018,0.2515,0.2515,0.4,0.63,0.47,1.2217,6.320610687,2.31,TRUE,10460,0.50
El_Soldado,0.767,10.06,5.18,2.515,0.281,0.166,0.503,33,0.3018,0.2515,0.2515,0.4,0.63,0.47,1.2217,5.712811388,2.31,TRUE,10380,0.50
El_Soldado,0.767,10.06,5.18,2.515,0.303,0.141,0.503,33,0.3018,0.2515,0.2515,0.4,0.63,0.47,1.2217,5.073267327,2.34,TRUE,10307,0.40
Bagdad_AG_1_2,0.73,9.45,3.35,2.3625,0.27,0,0.4725,33,0.2835,0.23625,0.23625,0.4,0.63,0.125,1.2217,2.7,2.19,TRUE,3039,0.50
Bagdad_SAG3,0.73,9.45,3.35,2.3625,0.275,0.07,0.4725,33,0.2835,0.23625,0.23625,0.4,0.63,0.125,1.2217,3.998181818,2.19,TRUE,5052,0.60
Bagdad_SAG3,0.73,9.45,3.35,2.3625,0.27,0.07,0.4725,33,0.2835,0.23625,0.23625,0.4,0.63,0.125,1.2217,4.022222222,2.19,TRUE,3755,0.40
Morrell_BM1,0.73,5.34,8.69,1.335,0.28,0.28,0.1335,33,0.1602,0.1335,0.1335,0.4,0.63,0.4363,1.2217,7.8,2.54,FALSE,3669,0.40
Morrell_BM2,0.73,5.34,8.69,1.335,0.26,0.26,0.1335,33,0.1602,0.1335,0.1335,0.4,0.63,0.4363,1.2217,7.8,2.54,FALSE,3549,0.60
Morrell_BM3,0.73,5.34,8.69,1.335,0.24,0.24,0.1335,33,0.1602,0.1335,0.1335,0.4,0.63,0.4363,1.2217,7.8,2.54,FALSE,3385,0.70
Morrell_BM4,0.73,5.34,8.69,1.335,0.23,0.23,0.1335,33,0.1602,0.1335,0.1335,0.4,0.63,0.45,1.2217,7.8,2.54,FALSE,3251,0.70
Morrell_BM5,0.72,5.33,8.54,1.3325,0.34,0.34,0.13325,33,0.1599,0.13325,0.13325,0.4,0.63,0.4363,1.2217,7.8,2.12,FALSE,4100,0.40
Morrell_BM6,0.7,5.29,7.32,1.3225,0.4,0.4,0.13225,33,0.1587,0.13225,0.13225,0.4,0.63,0.25,1.2217,7.8,2.54,FALSE,3828,0.70
Morrell_BM7,0.75,4.87,8.84,1.2175,0.3,0.3,0.12175,33,0.1461,0.12175,0.12175,0.4,0.63,0.47,1.2217,7.8,2.12,FALSE,3225,0.50
Morrell_BM8,0.72,4.87,8.84,1.2175,0.27,0.27,0.12175,33,0.1461,0.12175,0.12175,0.4,0.63,0.45,1.2217,7.8,2.12,FALSE,2900,0.40
Morrell_BM9,0.75,4.87,8.8,1.2175,0.3,0.3,0.12175,33,0.1461,0.12175,0.12175,0.4,0.63,0.53,1.2217,7.8,2.12,FALSE,3104,0.60
Morrell_BM10,0.73,4.85,5.92,1.2125,0.41,0.41,0.12125,33,0.1455,0.12125,0.12125,0.4,0.63,0.4363,1.2217,7.8,2.33,FALSE,2550,0.50
Morrell_BM11,0.77,4.75,6.26,1.1875,0.28,0.28,0.11875,33,0.1425,0.11875,0.11875,0.4,0.63,0.53,1.2217,7.8,2.18,FALSE,2050,0.60
Morrell_BM12,0.61,4.73,7.01,1.1825,0.32,0.32,0.11825,33,0.1419,0.11825,0.11825,0.4,0.63,0.45,1.2217,7.8,2.26,FALSE,1840,0.70
Morrell_BM13,0.72,4.68,5.64,1.17,0.48,0.48,0.117,33,0.1404,0.117,0.117,0.4,0.63,0.4363,1.2217,7.8,2.26,FALSE,2300,0.40
Morrell_BM14,0.74,4.41,6.1,1.1025,0.35,0.35,0.11025,33,0.1323,0.11025,0.11025,0.4,0.63,0.325,1.2217,7.8,3.17,FALSE,1900,0.50
Morrell_BM15,0.75,4.38,7.45,1.095,0.3,0.3,0.1095,33,0.1314,0.1095,0.1095,0.4,0.63,0.47,1.2217,7.8,2.19,FALSE,2026,0.60
Morrell_BM16,0.7,4.35,6.56,1.0875,0.38,0.38,0.10875,33,0.1305,0.10875,0.10875,0.4,0.63,0.45,1.2217,7.8,2.2,FALSE,1850,0.70
Morrell_BM17,0.71,4.12,7.04,1.03,0.38,0.38,0.103,33,0.1236,0.103,0.103,0.4,0.63,0.4363,1.2217,7.8,2.12,FALSE,1800,0.50
Morrell_BM18,0.75,4.12,5.49,1.03,0.45,0.45,0.103,33,0.1236,0.103,0.103,0.4,0.63,0.4363,1.2217,7.8,2.19,FALSE,1600,0.50
Morrell_BM19,0.75,4.1,5.92,1.025,0.34,0.34,0.1025,33,0.123,0.1025,0.1025,0.4,0.63,0.4363,1.2217,7.8,2.47,FALSE,1525,0.60
Morrell_BM20,0.69,3.87,6.34,0.9675,0.27,0.27,0.09675,33,0.1161,0.09675,0.09675,0.4,0.63,0.4363,1.2217,7.8,2.8,FALSE,1075,0.70
Morrell_BM21,0.77,3.85,5.9,0.9625,0.3,0.3,0.09625,33,0.1155,0.09625,0.09625,0.4,0.63,0.4363,1.2217,7.8,2.26,FALSE,1300,0.50
Morrell_BM22,0.63,3.83,4.83,0.9575,0.31,0.31,0.09575,33,0.1149,0.09575,0.09575,0.4,0.63,0.325,1.2217,7.8,2.12,FALSE,842,0.40
Morrell_BM23,0.72,3.55,4.87,0.8875,0.4,0.4,0.08875,33,0.1065,0.08875,0.08875,0.4,0.63,0.25,1.2217,7.8,2.26,FALSE,970,0.60
Morrell_BM24,0.77,3.54,4.88,0.885,0.42,0.42,0.0885,33,0.1062,0.0885,0.0885,0.4,0.63,0.4363,1.2217,7.8,2.19,FALSE,1029,0.60
Morrell_BM25,0.75,3.5,4.75,0.875,0.41,0.41,0.0875,33,0.105,0.0875,0.0875,0.4,0.63,0.4363,1.2217,7.8,2.26,FALSE,921,0.50
Morrell_BM26,0.74,3.5,4.42,0.875,0.35,0.35,0.0875,33,0.105,0.0875,0.0875,0.4,0.63,0.325,1.2217,7.8,2.23,FALSE,820,0.50
Morrell_BM27,0.75,3.48,6.33,0.87,0.34,0.34,0.087,33,0.1044,0.087,0.087,0.4,0.63,0.4363,1.2217,7.8,2.19,FALSE,1150,0.60
Morrell_BM28,0.71,3.48,4.62,0.87,0.39,0.39,0.087,33,0.1044,0.087,0.087,0.4,0.63,0.4363,1.2217,7.8,2.19,FALSE,834,0.70
Morrell_BM29,0.73,3.05,4.27,0.7625,0.45,0.45,0.07625,33,0.0915,0.07625,0.07625,0.4,0.63,0.325,1.2217,7.8,3.03,FALSE,600,0.70
Morrell_BM30,0.7,3.05,4.27,0.7625,0.4,0.4,0.07625,33,0.0915,0.07625,0.07625,0.4,0.63,0,1.2217,7.8,3.45,FALSE,580,0.50
Morrell_BM31,0.82,3.04,3.05,0.76,0.45,0.45,0.076,33,0.0912,0.076,0.076,0.4,0.63,0.4363,1.2217,7.8,2.75,FALSE,475,0.60
Morrell_BM32,0.73,2.7,4.83,0.675,0.38,0.38,0.0675,33,0.081,0.0675,0.0675,0.4,0.63,0.125,1.2217,7.664473684,2.16,FALSE,499,0.50
Morrell_BM33,0.77,2.65,3.4,0.6625,0.36,0.36,0.06625,33,0.0795,0.06625,0.06625,0.4,0.63,0.4363,1.2217,7.8,2.19,FALSE,334,0.60
Morrell_BM34,0.7,2.64,3.66,0.66,0.43,0.43,0.066,33,0.0792,0.066,0.066,0.4,0.63,0.125,1.2217,7.8,2.26,TRUE,420,0.40
Morrell_BM35,0.75,2.6,4.57,0.65,0.34,0.34,0.065,33,0.078,0.065,0.065,0.4,0.63,0.4363,1.2217,7.8,2.16,FALSE,400,0.50
Morrell_BM36,0.69,2.6,3.7,0.65,0.4,0.4,0.065,33,0.078,0.065,0.065,0.4,0.63,0,1.2217,7.8,3.45,FALSE,347,0.50
Morrell_BM37,0.68,2.52,3.66,0.63,0.35,0.35,0.063,33,0.0756,0.063,0.063,0.4,0.63,0.325,1.2217,7.8,2.19,FALSE,265,0.50
Morrell_BM38,0.82,2.3,4.2,0.575,0.36,0.36,0.0575,33,0.069,0.0575,0.0575,0.4,0.63,0.45,1.2217,7.8,2.19,FALSE,299,0.40
Morrell_BM39,0.83,2.29,2.74,0.5725,0.44,0.44,0.05725,33,0.0687,0.05725,0.05725,0.4,0.63,0.25,1.2217,7.8,2.75,FALSE,235,0.60
Morrell_BM40,0.69,1.73,2.44,0.4325,0.35,0.35,0.04325,33,0.0519,0.04325,0.04325,0.4,0.63,0.125,1.2217,7.8,2.19,TRUE,97,0.70
Morrell_BM41,0.81,1.7,2.7,0.425,0.4,0.4,0.0425,33,0.051,0.0425,0.0425,0.4,0.63,0.53,1.2217,7.8,2.19,TRUE,103,0.50
Morrell_BM42,0.71,0.85,1.52,0.2125,0.4,0.4,0.02125,33,0.0255,0.02125,0.02125,0.4,0.63,0,1.2217,7.8,2.33,FALSE,10,0.50
Morrell_BM43,0.71,0.85,1.52,0.2125,0.2,0.2,0.02125,33,0.0255,0.02125,0.02125,0.4,0.63,0.125,1.2217,7.8,2.33,FALSE,6.2,0.60
Morrell_SAG1,0.8,10.2,6.2915,2.55,0.19,0.16,0.51,33,0.306,0.255,0.255,0.4,0.63,0.6,1.2217,7.010526316,2.26,TRUE,10013,0.40
Morrell_SAG2,0.75,9.59,5.1763,2.3975,0.31,0.19,0.4795,33,0.2877,0.23975,0.23975,0.4,0.63,0.6,1.2217,5.787096774,2.12,TRUE,7900,0.40
Morrell_SAG3,0.75,9.59,5.1763,2.3975,0.14,0.14,0.4795,33,0.2877,0.23975,0.23975,0.4,0.63,0.6,1.2217,7.8,2.12,TRUE,5790,0.40
Morrell_SAG4,0.74,9.59,5.1763,2.3975,0.19,0.19,0.4795,33,0.2877,0.23975,0.23975,0.4,0.63,0.6,1.2217,7.8,2.12,TRUE,7100,0.40
Morrell_SAG5,0.78,9.55,5.59,2.3875,0.25,0.05,0.4775,33,0.2865,0.23875,0.23875,0.4,0.63,0.47,1.2217,3.88,2.33,TRUE,6300,0.50
Morrell_SAG6,0.8,8.38,4.2518,2.095,0.18,0.14,0.419,33,0.2514,0.2095,0.2095,0.4,0.63,0.6,1.2217,6.655555556,2.16,TRUE,4000,0.60
Morrell_SAG7,0.7,7.73,3.46,1.9325,0.11,0.11,0.3865,33,0.2319,0.19325,0.19325,0.4,0.63,0.53,1.2217,7.8,2.12,TRUE,1800,0.50
Morrell_SAG8,0.75,7.23,3,1.8075,0.16,0.11,0.3615,33,0.2169,0.18075,0.18075,0.4,0.63,0.4363,1.2217,6.2125,2.2,TRUE,1920,0.50
Morrell_SAG9,0.75,7.09,2.74,1.7725,0.21,0.11,0.3545,33,0.2127,0.17725,0.17725,0.4,0.63,0.4363,1.2217,5.561904762,2.47,TRUE,1900,0.60
Morrell_SAG10,0.71,7.05,3.66,1.7625,0.31,0.12,0.3525,33,0.2115,0.17625,0.17625,0.4,0.63,0.53,1.2217,4.643548387,2.16,TRUE,2239,0.40
Morrell_SAG11,0.71,7.05,3.66,1.7625,0.12,0.12,0.3525,33,0.2115,0.17625,0.17625,0.4,0.63,0.6,1.2217,7.8,2.16,TRUE,1500,0.50
Morrell_SAG12,0.71,6.51,2.44,1.6275,0.16,0.03,0.3255,33,0.1953,0.16275,0.16275,0.4,0.63,0,1.2217,4.79375,3.17,TRUE,972,0.70
Morrell_SAG13,0.75,6.5,2.762,1.625,0.21,0.06,0.325,33,0.195,0.1625,0.1625,0.4,0.63,0.47,1.2217,4.828571429,2.85,TRUE,1228,0.70
Morrell_SAG14,0.71,6.26,2.5,1.565,0.21,0.06,0.313,33,0.1878,0.1565,0.1565,0.4,0.63,0,1.2217,3.130985915,2.19,TRUE,1200,0.40
Morrell_SAG15,0.81,5.82,5.65,1.455,0.33,0.13,0.291,33,0.1746,0.1455,0.1455,0.4,0.63,0.53,1.2217,4.76969697,2.26,TRUE,2840,0.50
Morrell_SAG16,0.81,5.8,5.65,1.45,0.27,0.1,0.29,33,0.174,0.145,0.145,0.4,0.63,0.45,1.2217,4.651851852,2.26,TRUE,2600,0.40
Morrell_SAG17,0.71,5.3,7.95,1.325,0.3,0.18,0.265,33,0.159,0.1325,0.1325,0.4,0.63,0.4363,1.2217,5.8,2.26,TRUE,3284,0.40
Morrell_SAG18,0.66,5.08,6.82,1.27,0.31,0.12,0.254,33,0.1524,0.127,0.127,0.4,0.63,0.4363,1.2217,4.766129032,2.3,TRUE,2000,0.50
Morrell_SAG19,0.77,5.05,5.99,1.2625,0.21,0.17,0.2525,33,0.1515,0.12625,0.12625,0.4,0.63,0.53,1.2217,6.824761905,2.18,TRUE,2033,0.70
Morrell_SAG20,0.75,4.35,4.85,1.0875,0.29,0.12,0.2175,33,0.1305,0.10875,0.10875,0.4,0.63,0.4363,1.2217,4.781034483,2.16,TRUE,1066,0.50
Morrell_SAG21,0.89,4.16,4.723,1.04,0.38,0.1,0.208,33,0.1248,0.104,0.104,0.4,0.63,0.47,1.2217,4.042105263,2.19,TRUE,1063,0.60
Morrell_SAG22,0.75,4.12,5.02,1.03,0.33,0.22,0.206,33,0.1236,0.103,0.103,0.4,0.63,0.47,1.2217,6.1,2.19,TRUE,1225,0.50
Morrell_SAG23,0.75,4.12,5.02,1.03,0.22,0.22,0.206,33,0.1236,0.103,0.103,0.4,0.63,0.6,1.2217,7.8,2.19,TRUE,1012,0.70
Morrell_SAG24,0.76,4.05,4.6,1.0125,0.26,0.08,0.2025,33,0.1215,0.10125,0.10125,0.4,0.63,0.45,1.2217,4.269230769,2.19,TRUE,688,0.40
Morrell_SAG25,0.76,4.05,4.6,1.0125,0.07,0.07,0.2025,33,0.1215,0.10125,0.10125,0.4,0.63,0.4363,1.2217,7.8,2.19,TRUE,440,0.50
Morrell_SAG26,0.76,4.05,4.6,1.0125,0.34,0.06,0.2025,33,0.1215,0.10125,0.10125,0.4,0.63,0.4363,1.2217,3.6,2.19,TRUE,706,0.40
Morrell_SAG27,0.76,4.05,4.6,1.0125,0.32,0.06,0.2025,33,0.1215,0.10125,0.10125,0.4,0.63,0.4363,1.2217,3.65625,2.19,TRUE,687,0.70
Morrell_SAG28,0.78,3.9,5.1,0.975,0.34,0.25,0.195,33,0.117,0.0975,0.0975,0.4,0.63,0.6,1.2217,6.622058824,2.65,TRUE,1175,0.40
Morrell_SAG29,0.48,3.85,5.69,0.9625,0.12,0.12,0.1925,33,0.1155,0.09625,0.09625,0.4,0.63,0.125,1.2217,7.8,2.26,TRUE,404,0.60
Morrell_SAG30,0.78,1.75,0.5583,0.4375,0.23,0.08,0.0875,33,0.0525,0.04375,0.04375,0.4,0.63,0.4363,1.2217,4.441304348,2.16,TRUE,11,0.70
Morrell_SAG31,0.78,1.75,0.5583,0.4375,0.24,0.04,0.0875,33,0.0525,0.04375,0.04375,0.4,0.63,0,1.2217,3.508333333,2.16,TRUE,10.4,0.40
Morrell_AG1,0.76,10.2,6.1265,2.55,0.26,0,0.51,33,0.306,0.255,0.255,0.4,0.63,0.4363,1.2217,3.6,2.82,TRUE,8000,0.50
Morrell_AG2,0.78,9.5,5.59,2.375,0.31,0,0.475,33,0.285,0.2375,0.2375,0.4,0.63,0.47,1.2217,2.9,2.33,TRUE,5490,0.70
Morrell_AG3,0.72,7.1,3.0228,1.775,0.12,0,0.355,33,0.213,0.1775,0.1775,0.4,0.63,0.4363,1.2217,4.6,3.52,TRUE,1009,0.70
Morrell_AG4,0.72,7.1,3.0228,1.775,0.1,0,0.355,33,0.213,0.1775,0.1775,0.4,0.63,0.25,1.2217,3.57,2.799,TRUE,703,0.70
Morrell_AG5,0.75,6.49,2.3811,1.6225,0.27,0,0.3245,33,0.1947,0.16225,0.16225,0.4,0.63,0.25,1.2217,4,3.1,TRUE,1240,0.70
Morrell_AG6,0.75,6.49,2.3811,1.6225,0.19,0,0.3245,33,0.1947,0.16225,0.16225,0.4,0.63,0.125,1.2217,4,3.1,TRUE,960,0.70
Morrell_AG7,0.73,5.11,5.18,1.2775,0.24,0,0.2555,33,0.1533,0.12775,0.12775,0.4,0.63,0.4363,1.2217,4.2,3.24,TRUE,1264,0.50
Morrell_AG8,0.78,1.75,0.5583,0.4375,0.28,0,0.0875,33,0.0525,0.04375,0.04375,0.4,0.63,0,1.2217,2.65,2.155,TRUE,9.3,0.40
